longitude,latitude,east_velocity,north_velocity,up_velocity,east_velocity_std,north_velocity_std,up_velocity_std
-117.8277028697,34.640463835300004,-11.28,14.7,3.31,0.29,0.22999999999999998,1.1199999999999999
-118.9372984236,34.1095563361,-27.68,30.239999999999995,0.21000000000000002,0.16999999999999998,0.1,0.54
-118.93729846830001,34.1095563445,-27.68,30.239999999999995,0.21000000000000002,0.16999999999999998,0.1,0.54
-118.1272876136,34.136711004,-23.27,23.66,1.61,0.2,0.13999999999999999,0.4
-118.1272876916,34.1367110757,-23.27,23.66,1.61,0.2,0.13999999999999999,0.4
-118.12728776150001,34.1367110685,-23.27,23.66,1.61,0.2,0.13999999999999999,0.4
-118.1272878314,34.136711083499996,-23.27,23.66,1.61,0.2,0.13999999999999999,0.4
-118.12728785509998,34.1367110401,-23.27,23.66,1.61,0.2,0.13999999999999999,0.4
-117.4244635798,34.2711964625,-13.669999999999998,18.419999999999998,0.7,0.93,0.32,1.5
-117.4244635807,34.2711964505,-13.669999999999998,18.419999999999998,0.7,0.93,0.32,1.5
-117.42446360790001,34.2711964502,-13.669999999999998,18.419999999999998,0.7,0.93,0.32,1.5
-117.42446362709998,34.2711964269,-13.669999999999998,18.419999999999998,0.7,0.93,0.32,1.5
-117.424463522,34.271196456300004,-13.669999999999998,18.419999999999998,0.7,0.93,0.32,1.5
-117.47938454090001,34.3138009848,-16.080000000000002,17.830000000000002,0.9,0.22,0.16,0.5099999999999999
-117.47938458799999,34.3138009803,-16.080000000000002,17.830000000000002,0.9,0.22,0.16,0.5099999999999999
-117.4793848715,34.313800868200005,-16.080000000000002,17.830000000000002,0.9,0.22,0.16,0.5099999999999999
-117.47938473159999,34.313801091100004,-16.080000000000002,17.830000000000002,0.9,0.22,0.16,0.5099999999999999
-117.47938472759998,34.313801057,-16.080000000000002,17.830000000000002,0.9,0.22,0.16,0.5099999999999999
-117.4793847528,34.3138010439,-16.080000000000002,17.830000000000002,0.9,0.22,0.16,0.5099999999999999
-117.47938475990003,34.3138010312,-16.080000000000002,17.830000000000002,0.9,0.22,0.16,0.5099999999999999
-117.47938475749999,34.3138010808,-16.080000000000002,17.830000000000002,0.9,0.22,0.16,0.5099999999999999
-118.14423041730001,34.5303224121,-18.38,20.8,-1.0199999999999998,0.54,0.55,1.3
-118.14423041220002,34.5303224701,-18.38,20.8,-1.0199999999999998,0.54,0.55,1.3
-117.70881207240001,34.1099303086,-22.46,22.1,2.1100000000000003,0.13,0.26,0.67
-117.70881213759998,34.1099303765,-22.46,22.1,2.1100000000000003,0.13,0.26,0.67
-117.7088121745,34.1099303501,-22.46,22.1,2.1100000000000003,0.13,0.26,0.67
-117.70881217109999,34.109930397,-22.46,22.1,2.1100000000000003,0.13,0.26,0.67
